schizo	days	date
55	1	2008-10-12
56	2	2008-10-13
48	3	2008-10-14
46	4	2008-10-15
56	5	2008-10-16
46	6	2008-10-17
59	7	2008-10-18
60	8	2008-10-19
53	9	2008-10-20
58	10	2008-10-21
73	11	2008-10-22
69	12	2008-10-23
72	13	2008-10-24
51	14	2008-10-25
72	15	2008-10-26
69	16	2008-10-27
68	17	2008-10-28
69	18	2008-10-29
79	19	2008-10-30
77	20	2008-10-31
53	21	2008-11-01
63	22	2008-11-02
80	23	2008-11-03
65	24	2008-11-04
78	25	2008-11-05
64	26	2008-11-06
72	27	2008-11-07
77	28	2008-11-08
82	29	2008-11-09
77	30	2008-11-10
35	31	2008-11-11
79	32	2008-11-12
71	33	2008-11-13
73	34	2008-11-14
77	35	2008-11-15
76	36	2008-11-16
83	37	2008-11-17
73	38	2008-11-18
78	39	2008-11-19
91	40	2008-11-20
70	41	2008-11-21
88	42	2008-11-22
88	43	2008-11-23
85	44	2008-11-24
77	45	2008-11-25
63	46	2008-11-26
91	47	2008-11-27
94	48	2008-11-28
72	49	2008-11-29
83	50	2008-11-30
88	51	2008-12-01
78	52	2008-12-02
84	53	2008-12-03
78	54	2008-12-04
75	55	2008-12-05
75	56	2008-12-06
86	57	2008-12-07
79	58	2008-12-08
76	59	2008-12-09
87	60	2008-12-10
66	61	2008-12-11
73	62	2008-12-12
62	63	2008-12-13
27	64	2008-12-14
52	65	2008-12-15
47	66	2008-12-16
65	67	2008-12-17
59	68	2008-12-18
77	69	2008-12-19
47	70	2008-12-20
51	71	2008-12-21
47	72	2008-12-22
49	73	2008-12-23
54	74	2008-12-24
58	75	2008-12-25
56	76	2008-12-26
50	77	2008-12-27
54	78	2008-12-28
45	79	2008-12-29
66	80	2008-12-30
39	81	2008-12-31
51	82	2009-01-01
39	83	2009-01-02
27	84	2009-01-03
39	85	2009-01-04
37	86	2009-01-05
43	87	2009-01-06
41	88	2009-01-07
27	89	2009-01-08
29	90	2009-01-09
27	91	2009-01-10
26	92	2009-01-11
29	93	2009-01-12
31	94	2009-01-13
28	95	2009-01-14
38	96	2009-01-15
37	97	2009-01-16
26	98	2009-01-17
31	99	2009-01-18
45	100	2009-01-19
38	101	2009-01-20
33	102	2009-01-21
33	103	2009-01-22
25	104	2009-01-23
24	105	2009-01-24
29	106	2009-01-25
37	107	2009-01-26
35	108	2009-01-27
32	109	2009-01-28
31	110	2009-01-29
28	111	2009-01-30
40	112	2009-01-31
31	113	2009-02-01
37	114	2009-02-02
34	115	2009-02-03
43	116	2009-02-04
38	117	2009-02-05
33	118	2009-02-06
28	119	2009-02-07
35	120	2009-02-08
